word,count,average_count
com,11281,0.564134620193029
peopl,10290,0.5145771865779867
lik,10193,0.5097264589688453
know,9636,0.4818722808421263
get,9280,0.46406961044156625
tim,9003,0.4502175326298945
ye,8182,0.4091613742061309
think,8118,0.4059608941341201
new,7800,0.3900585087763164
use,7646,0.38235735360304046
als,7485,0.37430614592188827
us,7063,0.35320298044706705
mak,6682,0.3341501225183778
say,6645,0.33229984497674653
right,6366,0.3183477521628244
syst,6061,0.30309546431964796
could,6046,0.3023453518027704
well,5996,0.299844976746512
good,5964,0.29824473671050655
way,5874,0.2937440616092414
may,5749,0.2874931239685953
thing,5745,0.28729309396409464
even,5660,0.28304245636845526
see,5606,0.2803420513076961
god,5434,0.2717407611141671
probl,5332,0.2666399959993999
work,5324,0.2662399359903986
much,5102,0.2551382707406111
two,5070,0.2535380307046057
want,5052,0.25263789568435263
first,4995,0.24978746812021804
many,4986,0.24933740061009152
max,4968,0.24843726558983847
driv,4909,0.2454868230234535
fil,4874,0.2437365604840726
window,4747,0.23738560784117618
need,4723,0.23618542781417212
articl,4322,0.21613241986297946
se,4306,0.21533229984497676
anyon,4258,0.21293193979096864
car,4221,0.2110816622493374
said,4196,0.2098314747212082
point,4194,0.20973145971895785
used,4163,0.2081812271840776
stat,4150,0.20753112966945042
writ,4134,0.20673100965144772
go,4075,0.20378056708506276
believ,4062,0.20313046957043557
tak,3938,0.19692953943091462
really,3812,0.19062859428914336
something,3774,0.18872830924638695
progr,3761,0.18807821173175976
day,3748,0.18742811421713257
sinc,3688,0.18442766414962244
numb,3651,0.1825773866079912
pleas,3621,0.18107716157423615
government,3599,0.17997699654948243
thank,3562,0.17812671900785118
gam,3545,0.1772765914887233
still,3540,0.17702655398309747
back,3526,0.1763264489673451
read,3437,0.17187578136720508
mail,3382,0.1691253688053208
find,3379,0.1689753463019453
dat,3358,0.16792518877831675
serv,3357,0.1678751812771916
long,3346,0.16732509876481472
part,3331,0.16657498624793718
look,3329,0.16647497124568686
law,3327,0.1663749562434365
going,3304,0.16522478371755764
help,3300,0.16502475371305697
cas,3244,0.16222433365004751
fact,3210,0.16052407861179177
information,3187,0.1593739060859129
might,3184,0.1592238835825374
bit,3182,0.15912386858028704
bett,3178,0.15892383857578637
nev,3170,0.158523778566785
using,3136,0.15682352352852927
