word,count,average_count
body,281,0.3104972375690608
pow,169,0.1867403314917127
prey,143,0.1580110497237569
one,122,0.13480662983425415
energy,118,0.13038674033149172
mak,113,0.12486187845303867
use,111,0.12265193370165746
opponent,110,0.12154696132596685
wat,110,0.12154696132596685
tail,107,0.11823204419889503
around,106,0.11712707182320442
get,102,0.112707182320442
liv,102,0.112707182320442
head,98,0.10828729281767956
peopl,98,0.10828729281767956
even,98,0.10828729281767956
lik,95,0.10497237569060773
form,93,0.10276243093922652
said,90,0.09944751381215469
foe,87,0.09613259668508287
attack,85,0.09392265193370165
back,83,0.09171270718232044
strong,82,0.09060773480662983
becom,82,0.09060773480662983
tim,82,0.09060773480662983
electricity,81,0.08950276243093923
mov,80,0.08839779005524862
battl,79,0.08729281767955802
hard,74,0.08176795580110498
long,68,0.07513812154696133
tre,68,0.07513812154696133
many,67,0.07403314917127071
grow,66,0.07292817679558011
food,66,0.07292817679558011
tak,65,0.0718232044198895
poison,64,0.0707182320441989
shell,60,0.06629834254143646
world,60,0.06629834254143646
wing,60,0.06629834254143646
using,59,0.06519337016574586
leav,59,0.06519337016574586
away,57,0.06298342541436464
als,57,0.06298342541436464
fir,56,0.061878453038674036
eat,55,0.06077348066298342
air,55,0.06077348066298342
day,54,0.05966850828729282
fur,54,0.05966850828729282
leg,53,0.05856353591160221
caus,53,0.05856353591160221
arm,51,0.056353591160221
larg,50,0.055248618784530384
powerful,50,0.055248618784530384
lif,50,0.055248618784530384
flam,50,0.055248618784530384
claw,49,0.05414364640883978
sea,49,0.05414364640883978
insid,49,0.05414364640883978
cold,49,0.05414364640883978
see,48,0.05303867403314917
oth,48,0.05303867403314917
keep,47,0.051933701657458566
sharp,47,0.051933701657458566
appe,47,0.051933701657458566
known,46,0.05082872928176796
mad,46,0.05082872928176796
speed,46,0.05082872928176796
night,46,0.05082872928176796
two,45,0.049723756906077346
light,45,0.049723756906077346
region,45,0.049723756906077346
high,45,0.049723756906077346
gal,44,0.04861878453038674
enemi,44,0.04861878453038674
st,43,0.04751381215469613
wav,43,0.04751381215469613
com,43,0.04751381215469613
train,42,0.04640883977900553
ground,42,0.04640883977900553
nest,41,0.045303867403314914
flow,41,0.045303867403314914
evolution,41,0.045303867403314914
ancient,41,0.045303867403314914
forest,41,0.045303867403314914
psychic,40,0.04419889502762431
rock,40,0.04419889502762431
small,40,0.04419889502762431
sleep,39,0.0430939226519337
without,39,0.0430939226519337
enough,37,0.04088397790055249
chang,37,0.04088397790055249
creat,37,0.04088397790055249
sound,37,0.04088397790055249
protect,37,0.04088397790055249
fight,36,0.039779005524861875
sometim,36,0.039779005524861875
much,36,0.039779005524861875
degre,36,0.039779005524861875
land,35,0.03867403314917127
ice,35,0.03867403314917127
thick,35,0.03867403314917127
scent,35,0.03867403314917127
ye,35,0.03867403314917127
could,35,0.03867403314917127
mouth,34,0.03756906077348066
patterm,34,0.03756906077348066
togeth,34,0.03756906077348066
although,34,0.03756906077348066
sweet,34,0.03756906077348066
well,33,0.036464088397790057
sens,33,0.036464088397790057
fli,33,0.036464088397790057
fahrenheit,33,0.036464088397790057
deep,33,0.036464088397790057
kind,33,0.036464088397790057
temperatur,33,0.036464088397790057
strength,33,0.036464088397790057
mountaim,32,0.03535911602209945
blow,32,0.03535911602209945
giv,32,0.03535911602209945
